"Year","Month","Day","Venue","Place","Country","LatLng","Date"
1960,"Nov",12,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-11-12
1960,"Nov",13,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-11-13
1960,"Nov",14,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-11-14
1960,"Nov",15,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-11-15
1960,"Nov",16,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-11-16
1960,"Nov",17,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-11-17
1960,"Nov",18,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-11-18
1960,"Nov",19,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-11-19
1960,"Nov",20,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-11-20
1960,"Nov",21,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-11-21
1960,"Nov",22,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-11-22
1960,"Nov",23,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-11-23
1960,"Nov",24,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-11-24
1960,"Nov",25,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-11-25
1960,"Nov",26,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-11-26
1960,"Nov",27,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-11-27
1960,"Nov",28,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-11-28
1960,"Dec",17,"Casbah Coffee Club","Liverpool","England","53.4319992:-2.9123344",1960-12-17
1960,"Dec",24,"Grosvenor Ballroom","Wallasey","England","53.4191704:-3.0398252",1960-12-24
1960,"Dec",27,"Litherland Town Hall","Liverpool","England","53.4711189:-3.0018158",1960-12-27
1960,"Dec",31,"Casbah Coffee Club","Liverpool","England","53.4319992:-2.9123344",1960-12-31
1961,"Jan",5,"Litherland Town Hall","Liverpool","England","53.4711189:-3.0018158",1961-01-05
1961,"Jan",6,"St John's Hall","Bootle","England","53.4455795:-2.9951262",1961-01-06
1961,"Jan",7,"Aintree Institute","Liverpool","England","53.464901:-2.9569075",1961-01-07
1961,"Jan",7,"Lathom Hall","Liverpool","England","53.4650536:-3.0152106",1961-01-07
1961,"Jan",13,"Aintree Institute","Liverpool","England","53.464901:-2.9569075",1961-01-13
1961,"Jan",14,"Aintree Institute","Liverpool","England","53.464901:-2.9569075",1961-01-14
1961,"Jan",15,"Casbah Coffee Club","Liverpool","England","53.4319992:-2.9123344",1961-01-15
1961,"Jan",18,"Aintree Institute","Liverpool","England","53.464901:-2.9569075",1961-01-18
1961,"Jan",19,"Alexandra Hall","Liverpool","England","53.4885063:-3.0339217",1961-01-19
1961,"Jan",20,"Lathom Hall","Liverpool","England","53.4650536:-3.0152106",1961-01-20
1961,"Jan",21,"Lathom Hall","Liverpool","England","53.4650536:-3.0152106",1961-01-21
1961,"Jan",21,"Aintree Institute","Liverpool","England","53.464901:-2.9569075",1961-01-21
1961,"Jan",25,"Hambleton Hall","Liverpool","England","53.4238358:-2.862644",1961-01-25
